"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1955,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",426.1780668326,90775.9282353407
1955,"Medusafishes","Centrolophidae","Chile","Subsistence",2.003358146,2115.54620213337
1955,"Pacific menhaden","Ethmidium maculatum","Peru","Subsistence",715.7479837301,91615.7419174572
1955,"Pacific sierra","Scomberomorus sierra","Peru","Subsistence",23.509867502,14811.2165262901
1955,"Peruvian banded croaker","Paralonchurus peruanus","Peru","Subsistence",13.8083525778,4667.22317131222
1955,"Peruvian morwong","Cheilodactylus variegatus","Peru","Subsistence",0.7821724772,251.077365173659
1955,"Peruvian rock seabass","Paralabrax humeralis","Peru","Subsistence",53.7307366485,24931.0618049058
1955,"Peruvian weakfish","Cynoscion analis","Peru","Subsistence",0.0406128017,15.7171542577256
1955,"Rainbow runner","Elagatis bipinnulata","Chile","Subsistence",2.6711441946,1421.04871153404
1955,"Sea catfishes, coblers","Ariidae","Brazil","Subsistence",17.1515470331,36567.0982745692
1955,"Sea snails","Gastropoda","Peru","Subsistence",0.1218384051,95.6431480024387
1955,"Sharks, rays, skates","Elasmobranchii","Brazil","Subsistence",7.844341611,14206.102657521
1955,"Skates and rays","Rajiformes","Peru","Subsistence",16.894925507,12147.4514395421
1955,"Spiny lobsters","Panulirus","Chile","Subsistence",0.2782441869,1135.23628271046
1955,"Swimming crabs","Portunidae","Brazil","Subsistence",14.6565570673,21486.5126606618
1955,"Tilefishes","Malacanthidae","Peru","Subsistence",31.6983729521,11284.6207709482
1955,"Warehous, butterfishes","Seriolella","Peru","Subsistence",55.3552487165,33711.3464683399
1955,"Weakfishes","Cynoscion","Brazil","Subsistence",89.4773915163,235504.494470902
1955,"Whitemouth croaker","Micropogonias furnieri","Brazil","Subsistence",9.5783234759,11733.4462579775
1955,"Yellowtail amberjack","Seriola lalandi","Chile","Subsistence",5.30725,7716.7415
1956,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",2.2013471768,1171.1166980576
1956,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",7.9475483017,3894.2986678558
1956,"Black jack","Caranx lugubris","Chile","Subsistence",0.5066079349,210.242292993631
1956,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.0755094329,302.7173164961
1956,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",80.0721880105,20258.2635666663
1956,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.3205,489.6255
1956,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",1.9038620282,148.501238202873
1956,"Chilean ribbed mussel","Aulacomya ater","Peru","Subsistence",43.7792359265,11864.1729360777
1956,"Chilean silverside","Odontesthes regia","Peru","Subsistence",59.7982733958,30915.7073456171
1956,"Chub mackerel","Scomber japonicus","Peru","Subsistence",20.6276444012,2083.39208452451
